RXMLlang,639-3,639-2/T,639-2/B,RXMLxl,useflag,1.00,2.00,3.00,4.00,5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00,17.00,18.00,19.00,20.00,21.00,22.00,23.00,24.00,25.00,26.00,27.00,28.00,29.00,30.00,31.00,32.00,33.00,34.00,35.00,36.00,37.00,38.00,39.00,40.00,41.00,42.00,43.00,44.00,45.00,46.00,47.00,48.00,49.00,50.00,51.00,52.00,53.00,54.00,55.00,56.00,57.00,58.00,59.00,60.00,61.00,62.00,63.00,64.00,65.00,66.00
Marathi IRVMAR,mar,mar,mar,MarathiIRVMARBible.xml,0.00,उत्पत्ति,निर्गम,लेवीय,गणना,व्यवस्था विवरण,यहोशवा,न्यायाधीश,रूत,१ शमुवेल,२ शमुवेल,१ राजे,२ राजे,१ इतिहास,२ इतिहास,एज्रा,नेहेम्या,एस्तेर,अय्यूब,स्तोत्रसंहिता,नीतिसूत्रे,सभोपदेशक,श्रेष्ठगीत,यशया,यिर्मया,विलापगीत,यहेज्केल,दानियेल,होशे,योएल,आमोस,ओबद्याह,योना,मीखा,नहूम,हबक्कूक,सपन्याह,हाग्गै,जकर्या,मलाखी,मत्तय,मार्क,लूक,योहान,प्रेषितांची कृत्ये,रोमकरांस,१ करिंथकरांस,२ करिंथकरांस,गलतीकरांस,इफिसकरांस,फिलिप्पैकरांस,कलस्सैकरांस,१ थेस्सलनीकरांस,२ थेस्सलनीकरांस,१ तीमथ्य,२ तीमथ्य,तीत,फिलेमोन,इब्री,याकोब,१ पेत्र,२ पेत्र,१ योहान,२ योहान,३ योहान,यहूदा,प्रकटीकरण
Marathi MRCV,mar,mar,mar,MarathiMRCVBible.xml,0.00,उत्पत्ति,निर्गम,लेवीय,गणना,व्यवस्था विवरण,यहोशवा,न्यायाधीश,रूत,१ शमुवेल,२ शमुवेल,१ राजे,२ राजे,१ इतिहास,२ इतिहास,एज्रा,नेहेम्या,एस्तेर,अय्यूब,स्तोत्रसंहिता,नीतिसूत्रे,सभोपदेशक,श्रेष्ठगीत,यशया,यिर्मया,विलापगीत,यहेज्केल,दानियेल,होशे,योएल,आमोस,ओबद्याह,योना,मीखा,नहूम,हबक्कूक,सपन्याह,हाग्गै,जकर्या,मलाखी,मत्तय,मार्क,लूक,योहान,प्रेषितांची कृत्ये,रोमकरांस,१ करिंथकरांस,२ करिंथकरांस,गलतीकरांस,इफिसकरांस,फिलिप्पैकरांस,कलस्सैकरांस,१ थेस्सलनीकरांस,२ थेस्सलनीकरांस,१ तीमथ्य,२ तीमथ्य,तीत,फिलेमोन,इब्री,याकोब,१ पेत्र,२ पेत्र,१ योहान,२ योहान,३ योहान,यहूदा,प्रकटीकरण
Marwari,mwr,—,—,MarwariBible.xml,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,मत्ती,मरकुस,लूका,यूहन्ना,प्रेरितों के काम,रोमियो,१ कुरिन्थियों,२ कुरिन्थियों,गलातियों,इफिसियों,फिलिप्पियों,कुलुस्सियों,१ थिस्सलुनीकियों,२ थिस्सलुनीकियों,१ तिमुथियुस,२ तिमुथियुस,तीतुस,फिलेमोन,इब्रानियों,याकूब,१ पतरस,२ पतरस,१ यूहन्ना,२ यूहन्ना,३ यूहन्ना,यहूदा,प्रकाशितवाक्य
Mazanderani,mzn,—,—,MazanderaniBible.xml,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,متی,مرقس,لوقا,یوحنا,اعمال رسولان,رومیان,۱ قرنتیان,۲ قرنتیان,غلاطیان,افسسیان,فیلیپیان,کولسیان,۱ تسالونیکیان,۲ تسالونیکیان,۱ تیموتائوس,۲ تیموتائوس,تیطس,فیلمون,عبرانیان,یعقوب,۱ پطرس,۲ پطرس,۱ یوحنا,۲ یوحنا,۳ یوحنا,یهودا,مکاشفه
Mazanderani GMB,mzn,—,—,MazanderaniGMBBible.xml,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,متی,مرقس,لوقا,یوحنا,اعمال رسولان,رومیان,۱ قرنتیان,۲ قرنتیان,غلاطیان,افسسیان,فیلیپیان,کولسیان,۱ تسالونیکیان,۲ تسالونیکیان,۱ تیموتائوس,۲ تیموتائوس,تیطس,فیلمون,عبرانیان,یعقوب,۱ پطرس,۲ پطرس,۱ یوحنا,۲ یوحنا,۳ یوحنا,یهودا,مکاشفه
Mazanderani WMB,mzn,—,—,MazanderaniWMBBible.xml,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,متی,مرقس,لوقا,یوحنا,اعمال رسولان,رومیان,۱ قرنتیان,۲ قرنتیان,غلاطیان,افسسیان,فیلیپیان,کولسیان,۱ تسالونیکیان,۲ تسالونیکیان,۱ تیموتائوس,۲ تیموتائوس,تیطس,فیلمون,عبرانیان,یعقوب,۱ پطرس,۲ پطرس,۱ یوحنا,۲ یوحنا,۳ یوحنا,یهودا,مکاشفه
Meitei,mni,—,—,MeiteiBible.xml,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,মথি,মাৰ্ক,লূক,যোহন,প্ৰেরিতৰ কাৰ্য্য,ৰোমীয়,১ কৰিন্থীয়,২ কৰিন্থীয়,গালাতীয়,এফেচীয়,ফিলিপীয়,কলচীয়,১ থেচলনীকীয়,২ থেচলনীকীয়,১ তীমথি,২ তীমথি,তীত,ফিলেমন,ইব্ৰী,যাকোব,১ পিতৰ,২ পিতৰ,১ যোহন,২ যোহন,৩ যোহন,যিহুদা,প্ৰকাশিত বাক্য
Mende,men,—,—,MendeBible.xml,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matteo,Marko,Luka,Yohane,Acts,Romio,1 Korinto,2 Korinto,Galatia,Efeso,Filipi,Kolose,1 Tesalonika,2 Tesalonika,1 Timoteo,2 Timoteo,Tito,Filemon,Hebru,Jakobo,1 Petere,2 Petere,1 Yohane,2 Yohane,3 Yohane,Juda,Reveleshen
Mewari,mtr,—,—,MewariBible.xml,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,मत्ती,मरकुस,लूका,यूहन्ना,प्रेरितों के काम,रोमियो,१ कुरिन्थियों,२ कुरिन्थियों,गलातियों,इफिसियों,फिलिप्पियों,कुलुस्सियों,१ थिस्सलुनीकियों,२ थिस्सलुनीकियों,१ तिमुथियुस,२ तिमुथियुस,तीतुस,फिलेमोन,इब्रानियों,याकूब,१ पतरस,२ पतरस,१ यूहन्ना,२ यूहन्ना,३ यूहन्ना,यहूदा,प्रकाशितवाक्य
Mizo,lus,—,—,MizoBible.xml,0.00,Pianthar,Kalhmang,Levi,Thupek,Thupuan,Josua,Thuha,Ruth,1 Samuela,2 Samuela,1 Lalpa,2 Lalpa,1 Chanchin,2 Chanchin,Ezra,Nehemia,Esther,Joba,Salm,Thuchah,Thupuan,Hla,Isaia,Jeremia,Thlamuanna,Ezekiel,Daniel,Hosea,Joel,Amos,Obadia,Jona,Mika,Nahum,Habakkuk,Zephania,Haggai,Zecharia,Malaki,Matiu,Marka,Luka,Johana,Thuziak,Rome,1 Korin,2 Korin,Galatia,Efesia,Filipi,Kolose,1 Thessalonika,2 Thessalonika,1 Timotea,2 Timotea,Titus,Philemon,Hebrai,Jakoba,1 Peter,2 Peter,1 Johana,2 Johana,3 Johana,Juda,Thupuan Chibai
Mizo CLBSI,lus,—,—,MizoCLBSIBible.xml,0.00,Pianthar,Kalhmang,Levi,Thupek,Thupuan,Josua,Thuha,Ruth,1 Samuela,2 Samuela,1 Lalpa,2 Lalpa,1 Chanchin,2 Chanchin,Ezra,Nehemia,Esther,Joba,Salm,Thuchah,Thupuan,Hla,Isaia,Jeremia,Thlamuanna,Ezekiel,Daniel,Hosea,Joel,Amos,Obadia,Jona,Mika,Nahum,Habakkuk,Zephania,Haggai,Zecharia,Malaki,Matiu,Marka,Luka,Johana,Thuziak,Rome,1 Korin,2 Korin,Galatia,Efesia,Filipi,Kolose,1 Thessalonika,2 Thessalonika,1 Timotea,2 Timotea,Titus,Philemon,Hebrai,Jakoba,1 Peter,2 Peter,1 Johana,2 Johana,3 Johana,Juda,Thupuan Chibai
Mizo OVBSI,lus,—,—,MizoOVBSIBible.xml,0.00,Pianthar,Kalhmang,Levi,Thupek,Thupuan,Josua,Thuha,Ruth,1 Samuela,2 Samuela,1 Lalpa,2 Lalpa,1 Chanchin,2 Chanchin,Ezra,Nehemia,Esther,Joba,Salm,Thuchah,Thupuan,Hla,Isaia,Jeremia,Thlamuanna,Ezekiel,Daniel,Hosea,Joel,Amos,Obadia,Jona,Mika,Nahum,Habakkuk,Zephania,Haggai,Zecharia,Malaki,Matiu,Marka,Luka,Johana,Thuziak,Rome,1 Korin,2 Korin,Galatia,Efesia,Filipi,Kolose,1 Thessalonika,2 Thessalonika,1 Timotea,2 Timotea,Titus,Philemon,Hebrai,Jakoba,1 Peter,2 Peter,1 Johana,2 Johana,3 Johana,Juda,Thupuan Chibai
Moba,mfq,—,—,MobaBible.xml,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matiu,Mak,Luk,Jɔɔnn,Toona,Rom Teeb,Korint Teeb I,Korint Teeb II,Galasia Teeb,Efesia Teeb,Filipi Teeb,Kolosi Teeb,Tesaloni Teeb I,Tesaloni Teeb II,Timote Teeb I,Timote Teeb II,Titu,Filemoni,Hebru,Yakobu,Petere I,Petere II,Jɔɔnn I,Jɔɔnn II,Jɔɔnn III,Yuda,Apokalipsi
Moldovian Cyrillic,ron,ron,rum,MoldovianCyrillicBible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Матей,Марку,Лука,Иоан,Фаптеле Апостолилор,Римани,1 Коринтени,2 Коринтени,Галатени,Ефесени,Филипени,Колосени,1 Тесалоничени,2 Тесалоничени,1 Тимотей,2 Тимотей,Титу,Филемон,Евреи,Яков,1 Петру,2 Петру,1 Иоан,2 Иоан,3 Иоан,Юда,Апокалипса
Moldovian Latin,ron,ron,rum,MoldovianLatinBible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matei,Marcu,Luca,Ioan,Faptele Apostolilor,Romani,1 Corinteni,2 Corinteni,Galateni,Efeseni,Filipeni,Coloseni,1 Tesaloniceni,2 Tesaloniceni,1 Timotei,2 Timotei,Tit,Filimon,Evrei,Iacov,1 Petru,2 Petru,1 Ioan,2 Ioan,3 Ioan,Iuda,Apocalipsa
Mongolian  2004,mon,mon,mon,Mongolian2004Bible.xml,1,Эхлэл,Гаралт,Левит,Тооллого,Дэд хууль,Иошуа,Шүүгчид,Рут,1 Самуэл,2 Самуэл,1 Хаад,2 Хаад,1 Шастир,2 Шастир,Езра,Нехеми,Эстер,Иов,Дуулал,Сургаалт үгс,Номлогчийн үгс,Соломоны дуу,Исаиа,Иеремиа,Гашуудал,Иезекиел,Даниел,Хосеа,Иоел,Амос,Обадиа,Иона,Мика,Наахум,Хабаккук,Софони,Хагай,Захариа,Малахи,Матай,Марк,Лук,Иохан,Үйлс,Ром,1 Коринт,2 Коринт,Галат,Ефес,Филиппой,Колосай,1 Тесалоник,2 Тесалоник,1 Тимот,2 Тимот,Тит,Филемон,Еврей,Иаков,1 Петр,2 Петр,1 Иохан,2 Иохан,3 Иохан,Иуда,Илчлэлт
Mongolian  2013,mon,mon,mon,Mongolian2013Bible.xml,0.00,Эхлэл,Гаралт,Левит,Тооллого,Дэд хууль,Иошуа,Шүүгчид,Рут,1 Самуэл,2 Самуэл,1 Хаад,2 Хаад,1 Шастир,2 Шастир,Езра,Нехеми,Эстер,Иов,Дуулал,Сургаалт үгс,Номлогчийн үгс,Соломоны дуу,Исаиа,Иеремиа,Гашуудал,Иезекиел,Даниел,Хосеа,Иоел,Амос,Обадиа,Иона,Мика,Наахум,Хабаккук,Софони,Хагай,Захариа,Малахи,Матай,Марк,Лук,Иохан,Үйлс,Ром,1 Коринт,2 Коринт,Галат,Ефес,Филиппой,Колосай,1 Тесалоник,2 Тесалоник,1 Тимот,2 Тимот,Тит,Филемон,Еврей,Иаков,1 Петр,2 Петр,1 Иохан,2 Иохан,3 Иохан,Иуда,Илчлэлт
Morisyen  2021,mfe,—,—,Morisyen2021Bible.xml,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matye,Mark,Lik,Zan,Zistwar Apot,Romin,1 Korintien,2 Korintien,Galatien,Efesien,Filipien,Kolosien,1 Tesalonisien,2 Tesalonisien,1 Timote,2 Timote,Tit,Filemon,Ebre,Zak,1 Pyer,2 Pyer,1 Zan,2 Zan,3 Zan,Zid,Revelasion
Morisyen,mfe,—,—,MorisyenBible.xml,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matye,Mark,Lik,Zan,Zistwar Apot,Romin,1 Korintien,2 Korintien,Galatien,Efesien,Filipien,Kolosien,1 Tesalonisien,2 Tesalonisien,1 Timote,2 Timote,Tit,Filemon,Ebre,Zak,1 Pyer,2 Pyer,1 Zan,2 Zan,3 Zan,Zid,Revelasion
Mossi  2014,mos,—,—,Mossi2014Bible.xml,0.00,Sɩngrẽ,Ezipt Yiib Kibare,Maan-Kʋʋr Sebre,Sõadga,Yaoolem,Zozuwe,Bʋ-Kaoodba,Rut,Samwɛl I,Samwɛl II,Dĩm Dãmba I,Dĩm Dãmba II,Na-Rot I,Na-Rot II,Esdras,Neemi,Ester,Zoob,Yɩɩla,Yelbũna,Kowelɛt,Yɩɩn-Noog Menga,Izayi Sebre,Zeremi,Kʋʋr Yɩɩla,Ezekiyɛl,Daniyɛl,Oze,Zowɛl,Amos,Abdiyas,Zonas,Mise,Nawum,Abakuk,Sofoni,Aze,Zakari,Malasi,Matiye Sõng,Mark Sõng,Luk Sõng,Zã Sõng,Tʋʋm-Tʋmdba Vɩɩm,Rom Dãmba,Korẽnt Rãmba I,Korẽnt Rãmba II,Galat Rãmba,Efes Rãmba,Filip Rãmba,Kolose Rãmba,Tesalonik Rãmba I,Tesalonik Rãmba II,Timote Rãmba I,Timote Rãmba II,Titu,Filemon,Hebru,Yakobu,Petere I,Petere II,Zã I,Zã II,Zã III,Yuda,Apokalipsi
Mossi SB,mos,—,—,MossiSBBible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matiye Sõng,Mark Sõng,Luk Sõng,Zã Sõng,Tʋʋm-Tʋmdba Vɩɩm,Rom Dãmba,Korẽnt Rãmba I,Korẽnt Rãmba II,Galat Rãmba,Efes Rãmba,Filip Rãmba,Kolose Rãmba,Tesalonik Rãmba I,Tesalonik Rãmba II,Timote Rãmba I,Timote Rãmba II,Titu,Filemon,Hebru,Yakobu,Petere I,Petere II,Zã I,Zã II,Zã III,Yuda,Apokalipsi
Mossi SSDC,mos,—,—,MossiSSDCBible.xml,0.00,Sɩngrẽ,Ezipt Yiib Kibare,Maan-Kʋʋr Sebre,Sõadga,Yaoolem,Zozuwe,Bʋ-Kaoodba,Rut,Samwɛl I,Samwɛl II,Dĩm Dãmba I,Dĩm Dãmba II,Na-Rot I,Na-Rot II,Esdras,Neemi,Ester,Zoob,Yɩɩla,Yelbũna,Kowelɛt,Yɩɩn-Noog Menga,Izayi Sebre,Zeremi,Kʋʋr Yɩɩla,Ezekiyɛl,Daniyɛl,Oze,Zowɛl,Amos,Abdiyas,Zonas,Mise,Nawum,Abakuk,Sofoni,Aze,Zakari,Malasi,Matiye Sõng,Mark Sõng,Luk Sõng,Zã Sõng,Tʋʋm-Tʋmdba Vɩɩm,Rom Dãmba,Korẽnt Rãmba I,Korẽnt Rãmba II,Galat Rãmba,Efes Rãmba,Filip Rãmba,Kolose Rãmba,Tesalonik Rãmba I,Tesalonik Rãmba II,Timote Rãmba I,Timote Rãmba II,Titu,Filemon,Hebru,Yakobu,Petere I,Petere II,Zã I,Zã II,Zã III,Yuda,Apokalipsi
Munda  2020,unr,—,—,Munda2020Bible.xml,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ମାଥ୍ୟୁ (Matthew),ମାର୍କ (Mark),ଲୁକ (Luke),ଜନ (John),ଆକ୍ଟସ (Acts),ରୋମାନସ (Romans),1 କୋରିନ୍ଥିଆନସ (1 Corinthians),2 କୋରିନ୍ଥିଆନସ (2 Corinthians),ଗାଲାଟିଆନସ (Galatians),ଏଫେସିଆନସ (Ephesians),ଫିଲିପିଆନସ (Philippians),କୋଲୋସିଆନସ (Colossians),1 ଥେସାଲୋନିଆନସ (1 Thessalonians),2 ଥେସାଲୋନିଆନସ (2 Thessalonians),1 ଟିମୋଥି (1 Timothy),2 ଟିମୋଥି (2 Timothy),ଟିଟସ (Titus),ଫିଲେମୋନ (Philemon),ହିବ୍ରୁସ (Hebrews),ଜେମସ (James),1 ପିଟର (1 Peter),2 ପିଟର (2 Peter),1 ଜନ (1 John),2 ଜନ (2 John),3 ଜନ (3 John),ଜୁଡ (Jude),ରେଭେଲେସନ (Revelation)
Munda,unr,—,—,MundaBible.xml,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ମାଥ୍ୟୁ (Matthew),ମାର୍କ (Mark),ଲୁକ (Luke),ଜନ (John),ଆକ୍ଟସ (Acts),ରୋମାନସ (Romans),1 କୋରିନ୍ଥିଆନସ (1 Corinthians),2 କୋରିନ୍ଥିଆନସ (2 Corinthians),ଗାଲାଟିଆନସ (Galatians),ଏଫେସିଆନସ (Ephesians),ଫିଲିପିଆନସ (Philippians),କୋଲୋସିଆନସ (Colossians),1 ଥେସାଲୋନିଆନସ (1 Thessalonians),2 ଥେସାଲୋନିଆନସ (2 Thessalonians),1 ଟିମୋଥି (1 Timothy),2 ଟିମୋଥି (2 Timothy),ଟିଟସ (Titus),ଫିଲେମୋନ (Philemon),ହିବ୍ରୁସ (Hebrews),ଜେମସ (James),1 ପିଟର (1 Peter),2 ପିଟର (2 Peter),1 ଜନ (1 John),2 ଜନ (2 John),3 ଜନ (3 John),ଜୁଡ (Jude),ରେଭେଲେସନ (Revelation)
Nahuatl  2012,nah,nah,nah,Nahuatl2012Bible.xml,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mateo,Marcos,Lucas,Juan,Hechos,Romanos,1 Corintios,2 Corintios,Gálatas,Efesios,Filipenses,Colosenses,1 Tesalonicenses,2 Tesalonicenses,1 Timoteo,2 Timoteo,Tito,Filemón,Hebreos,Santiago,1 Pedro,2 Pedro,1 Juan,2 Juan,3 Juan,Judas,Apocalipsis
Nahuatl  2017,nah,nah,nah,Nahuatl2017Bible.xml,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mateo,Marcos,Lucas,Juan,Hechos,Romanos,1 Corintios,2 Corintios,Gálatas,Efesios,Filipenses,Colosenses,1 Tesalonicenses,2 Tesalonicenses,1 Timoteo,2 Timoteo,Tito,Filemón,Hebreos,Santiago,1 Pedro,2 Pedro,1 Juan,2 Juan,3 Juan,Judas,Apocalipsis
Nahuatl,nah,nah,nah,NahuatlBible.xml,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mateo,Marcos,Lucas,Juan,Hechos,Romanos,1 Corintios,2 Corintios,Gálatas,Efesios,Filipenses,Colosenses,1 Tesalonicenses,2 Tesalonicenses,1 Timoteo,2 Timoteo,Tito,Filemón,Hebreos,Santiago,1 Pedro,2 Pedro,1 Juan,2 Juan,3 Juan,Judas,Apocalipsis
Nahuatl GU,nah,nah,nah,NahuatlGUBible.xml,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mateo,Marcos,Lucas,Juan,Hechos,Romanos,1 Corintios,2 Corintios,Gálatas,Efesios,Filipenses,Colosenses,1 Tesalonicenses,2 Tesalonicenses,1 Timoteo,2 Timoteo,Tito,Filemón,Hebreos,Santiago,1 Pedro,2 Pedro,1 Juan,2 Juan,3 Juan,Judas,Apocalipsis
Nahuatl NHE,nhe,—,—,NahuatlNHEBible.xml,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mateo,Marcos,Lucas,Juan,Hechos,Romanos,1 Corintios,2 Corintios,Gálatas,Efesios,Filipenses,Colosenses,1 Tesalonicenses,2 Tesalonicenses,1 Timoteo,2 Timoteo,Tito,Filemón,Hebreos,Santiago,1 Pedro,2 Pedro,1 Juan,2 Juan,3 Juan,Judas,Apocalipsis
Ndau  2023,ndc,—,—,Ndau2023Bible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mateu,Marko,Ruka,Johani,Mabasa,VaRoma,1 VaKorinde,2 VaKorinde,VaGaratiya,VaEfeso,VaFiripi,VaKorose,1 VaTesaronika,2 VaTesaronika,1 Timoti,2 Timoti,Tito,Filemoni,VaHebheru,Jakobo,1 Petro,2 Petro,1 Johani,2 Johani,3 Johani,Judha,Zvakazarurwa
Ndau,ndc,—,—,NdauBible.xml,0.00,Genesi,Eksodo,Revhitiko,Manhamba,Dheuteronomio,Joshua,Vatongi,Rute,1 Samueri,2 Samueri,1 Madzimambo,2 Madzimambo,1 Nhoroondo,2 Nhoroondo,Ezira,Nehemia,Esteri,Jobho,Mapisarema,Zvirevo,Muparidzi,Rwiyo rwaSoromoni,Isaya,Jeremia,Kuchema,Ezekieri,Dhanieri,Hosea,Joeri,Amosi,Obhadia,Jonasi,Mika,Nahumi,Habakuki,Zefania,Hagai,Zakaria,Malaki,Mateu,Marko,Ruka,Johani,Mabasa,VaRoma,1 VaKorinde,2 VaKorinde,VaGaratiya,VaEfeso,VaFiripi,VaKorose,1 VaTesaronika,2 VaTesaronika,1 Timoti,2 Timoti,Tito,Filemoni,VaHebheru,Jakobo,1 Petro,2 Petro,1 Johani,2 Johani,3 Johani,Judha,Zvakazarurwa
Ndebele  2002,nbl,nbl,nbl,Ndebele2002Bible.xml,1,Genesisi,Eksodusi,Levitikusi,Numeri,Duteronomi,Joshuwa,Abahluleli,Ruthe,1 Samuweli,2 Samuweli,1 AmaKhosi,2 AmaKhosi,1 IziKronike,2 IziKronike,Ezira,Nehemiya,Estere,Jobe,AmaHubo,Izaga,UmShumayeli,Ingoma kaSolomoni,Isaya,Jeremiya,Izililo,Hezekhiyeli,Daniyeli,Hoseya,Joweli,Amosi,Obhadiya,Jona,Mika,Nahumi,Habakhuku,Zefaniya,Hagayi,Zakariya,Malakhi,UMathewu,UMakho,ULuka,UJohane,ImiSebenzi,AmaRoma,1 AmaKhorinte,2 AmaKhorinte,AmaGalathiya,AmaEfesu,AmaFiliphi,AmaKolose,1 AmaTesalonika,2 AmaTesalonika,1 UTimoti,2 UTimoti,UTitu,UFilemoni,AmaHebheru,UJakhobe,1 UPhetro,2 UPhetro,1 UJohane,2 UJohane,3 UJohane,UJuda,Isambulo
Ndebele  2003,nbl,nbl,nbl,Ndebele2003Bible.xml,0.00,Genesisi,Eksodusi,Levitikusi,Numeri,Duteronomi,Joshuwa,Abahluleli,Ruthe,1 Samuweli,2 Samuweli,1 AmaKhosi,2 AmaKhosi,1 IziKronike,2 IziKronike,Ezira,Nehemiya,Estere,Jobe,AmaHubo,Izaga,UmShumayeli,Ingoma kaSolomoni,Isaya,Jeremiya,Izililo,Hezekhiyeli,Daniyeli,Hoseya,Joweli,Amosi,Obhadiya,Jona,Mika,Nahumi,Habakhuku,Zefaniya,Hagayi,Zakariya,Malakhi,UMathewu,UMakho,ULuka,UJohane,ImiSebenzi,AmaRoma,1 AmaKhorinte,2 AmaKhorinte,AmaGalathiya,AmaEfesu,AmaFiliphi,AmaKolose,1 AmaTesalonika,2 AmaTesalonika,1 UTimoti,2 UTimoti,UTitu,UFilemoni,AmaHebheru,UJakhobe,1 UPhetro,2 UPhetro,1 UJohane,2 UJohane,3 UJohane,UJuda,Isambulo
Ndebele  2012,nbl,nbl,nbl,Ndebele2012Bible.xml,0.00,Genesisi,Eksodusi,Levitikusi,Numeri,Duteronomi,Joshuwa,Abahluleli,Ruthe,1 Samuweli,2 Samuweli,1 AmaKhosi,2 AmaKhosi,1 IziKronike,2 IziKronike,Ezira,Nehemiya,Estere,Jobe,AmaHubo,Izaga,UmShumayeli,Ingoma kaSolomoni,Isaya,Jeremiya,Izililo,Hezekhiyeli,Daniyeli,Hoseya,Joweli,Amosi,Obhadiya,Jona,Mika,Nahumi,Habakhuku,Zefaniya,Hagayi,Zakariya,Malakhi,UMathewu,UMakho,ULuka,UJohane,ImiSebenzi,AmaRoma,1 AmaKhorinte,2 AmaKhorinte,AmaGalathiya,AmaEfesu,AmaFiliphi,AmaKolose,1 AmaTesalonika,2 AmaTesalonika,1 UTimoti,2 UTimoti,UTitu,UFilemoni,AmaHebheru,UJakhobe,1 UPhetro,2 UPhetro,1 UJohane,2 UJohane,3 UJohane,UJuda,Isambulo
Ndebele,nbl,nbl,nbl,NdebeleBible.xml,0.00,Genesisi,Eksodusi,Levitikusi,Numeri,Duteronomi,Joshuwa,Abahluleli,Ruthe,1 Samuweli,2 Samuweli,1 AmaKhosi,2 AmaKhosi,1 IziKronike,2 IziKronike,Ezira,Nehemiya,Estere,Jobe,AmaHubo,Izaga,UmShumayeli,Ingoma kaSolomoni,Isaya,Jeremiya,Izililo,Hezekhiyeli,Daniyeli,Hoseya,Joweli,Amosi,Obhadiya,Jona,Mika,Nahumi,Habakhuku,Zefaniya,Hagayi,Zakariya,Malakhi,UMathewu,UMakho,ULuka,UJohane,ImiSebenzi,AmaRoma,1 AmaKhorinte,2 AmaKhorinte,AmaGalathiya,AmaEfesu,AmaFiliphi,AmaKolose,1 AmaTesalonika,2 AmaTesalonika,1 UTimoti,2 UTimoti,UTitu,UFilemoni,AmaHebheru,UJakhobe,1 UPhetro,2 UPhetro,1 UJohane,2 UJohane,3 UJohane,UJuda,Isambulo
Nepali  2008,nep,nep,nep,Nepali2008Bible.xml,1,उत्पत्ति,प्रस्थान,लेवी,गणना,व्यवस्था विवरण,यहोशू,न्यायकर्ता,रूथ,१ शमूएल,२ शमूएल,१ राजा,२ राजा,१ इतिहास,२ इतिहास,एज्रा,नहेम्याह,एस्तर,अय्यूब,भजनसंग्रह,हितोपदेश,उपदेशक,श्रेष्ठगीत,यशैया,यिर्मिया,विलापगीत,यहेज्केल,दानिएल,होशे,योएल,आमोस,ओबद्याह,योना,मीका,नहूम,हबक्कूक,सपन्याह,हाग्गै,जकरिया,मलाखी,मत्ती,मार्क,लूका,यूहन्ना,प्रेरितहरूको काम,रोमी,१ कुरिन्थी,२ कुरिन्थी,गलाती,एफिसी,फिलिप्पी,कलस्सी,१ थेस्सलोनिकी,२ थेस्सलोनिकी,१ तिमोथी,२ तिमोथी,तीतुस,फिलेमोन,हिब्रू,याकूब,१ पेत्रुस,२ पेत्रुस,१ यूहन्ना,२ यूहन्ना,३ यूहन्ना,यहूदा,प्रकाश
